,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,desc_len
336,Senior Data Scientist,$112K - $156K (Glassdoor est.),"Under the direction of their leader, this position will participate on cross-functional project teams, provide overall guidance to the technical direction of……
Skills: Statistics, Data mining, SQL, Statistical analysis, Analysis skills",4.1,Caterpillar,"Peoria, IL",10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),0,0,112,156,134.0,Peoria,95,0,0,0,0,0,data scientist,senior,235
337,"CORPORATE VICE PRESIDENT, Lead Data Scientist",$178K (Employer est.),"(4) Collaborating with cross-functional teams comprised of Product Managers, Engineers, and business leaders to design and implement Underwriting project……
Skills: Microsoft Powerpoint, Computer science, Visual Studio, Spark, R",3.7,New York Life Insurance Co,Remote,10000+ Employees,1845,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),0,0,178,178,178.0,Remote,175,0,0,1,0,0,data scientist,senior,227
338,"Sr. Data Scientist, Amazon Robotics (AR)",$123K - $175K (Glassdoor est.),"Master's degree in a quantitative field such as statistics, mathematics, data science, business analytics, economics, finance, engineering, or computer science,……
Skills: MATLAB, SAS, Military, R, SQL",3.7,Amazon.com Services LLC,"North Reading, MA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,0,123,175,149.0,North Reading,26,0,0,0,0,0,data scientist,senior,200
339,Data Scientist - Generative AI/Computer Vision,$75K - $143K (Employer est.),"Bachelor's Degree Mathematics, Statistics, Physics, Economics, Engineering, Computer Science, Data or Information Science, or related quantitative analytic……
Skills: Rust, Sales, Computer vision, Spark, Java",3.5,Lowe's,"Charlotte, NC",1001 to 5000 Employees,1921,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),0,0,75,143,109.0,Charlotte,99,0,0,1,0,0,data scientist,na,207
340,Principal Data Scientist,$175K - $231K (Glassdoor est.),"Apply technical expertise with quantitative analysis, experimentation, and the presentation of data to develop strategies for our business and help solve the……
Skills: R, Tableau, SQL, Analysis skills, Presentation skills",3.9,Atlassian,"Seattle, WA",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable,0,0,175,231,203.0,Seattle,18,0,0,0,0,0,data scientist,senior,221
341,"Lead Data Scientist - Search (NLP, Information Retrieval, Query, Applied ML)(Remote Or Hybrid)",$127K - $274K (Employer est.),"Conduct research to advance the state-of-the-art machine learning and NLP technologies. PhD in Computer Science, Applied Mathematics, Statistics, Physics or……
Skills: Statistics, Test-driven development, Java, Databases, SQL",3.5,Target,"Minneapolis, MN",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),0,0,127,274,200.5,Minneapolis,58,0,0,0,0,0,data scientist,senior,224
342,Sr Data Scientist - People Analytics,$93K - $185K (Employer est.),"You will support the Lead Data Scientists as needed and lead your own projects and problem solve with business leaders, provide thought leadership, and support……
Skills: Statistics, Alteryx, Data analysis skills, Child protective services, Machine learning",3.1,CVS Health,"Tampa, FL",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,0,93,185,139.0,Tampa,57,0,0,0,0,0,data scientist,senior,256
343,"Software Development Engineer, Health AI",$129K - $224K (Employer est.),"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience.…
Skills: Computer science, AWS, APIs, AI, SDLC",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,0,129,224,176.5,Seattle,26,0,0,0,1,0,na,na,179
344,"Data Research Scientist, Center for Population Health Sciences and Health Equity",$69K - $132K (Employer est.),"Utilize comprehensive knowledge of analytical mythologies, techniques and tools to complete a variety of studies and work assignments with background in data……
Skills: Statistics, Data science",4.0,George Washington University,Foggy Bottom,1001 to 5000 Employees,1821,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,69,132,100.5,Foggy Bottom,199,0,0,0,0,0,na,na,192
345,"Senior Data Scientist, Global Search",$175K - $234K (Glassdoor est.),"Keen interest in the internet industry with a desire for long-term development within the field. Offer directional analysis guidance to the search business,……
Skills: Management, R, Data analysis skills, SQL, Machine learning",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,0,175,234,204.5,San Jose,4,0,0,0,0,0,data scientist,senior,225
