Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,python_yn,R_yn,spark,aws,excel
"AIML - Natural Language Modeling Research Scientist, Siri and Information Intelligence",$176K - $312K (Employer est.),"M.S. or PhD in Electrical Engineering, Computer Science or a related field i.e. mathematics, physics or computer engineering with a focus on computer vision and……
Skills: Computer vision, Electrical engineering, C++, C, Machine learning",4.1,Apple,"Cupertino, CA",10000+ Employees,0,0,176,312,244.0,Cupertino,0,0,0,0,0
Senior Applied Scientist (Research Software Development Engineer),$117K - $229K (Employer est.),"Reviews business and product requirements and incorporates state-of-the-art research or previously tested solutions occurring at Microsoft and the academic……
Skills: Statistics, Power BI, Research, SQL, Presentation skills",4.2,Microsoft,"Redmond, WA",10000+ Employees,0,0,117,229,173.0,Redmond,0,0,0,0,0
Principal Data Scientist,$154K - $200K (Employer est.),"Ability to effectively communicate data science progress to non-technical internal stakeholders and ability to lead a team of data scientists is a plus.…
Skills: Software deployment, SQL, Machine learning, Deep learning, Forecasting",4.0,Dell,"Round Rock, TX",10000+ Employees,0,0,154,200,177.0,Round Rock,0,0,0,0,0
"Sr Principal Applied Scientist, Amazon Customer Service",$240K - $350K (Employer est.),"A MS in Computer Science, Machine Learning, Statistics, Operations Research or in a highly quantitative field. Strong ML breadth and depth.…
Skills: Statistics, Spark, Data analysis skills, SQL, Analysis skills",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,0,0,240,350,295.0,Seattle,0,0,1,0,0
Senior Applied Scientist,$117K - $229K (Employer est.),"Conduct applied science experiments, create and validate metrics, develop ML pipeline and modeling algorithm in the area of Large Language Models, Natural……
Skills: TensorFlow, Statistics, Azure, Research, Application development",4.2,Microsoft,"Redmond, WA",10000+ Employees,0,0,117,229,173.0,Redmond,0,0,0,0,0
Computer Vision and Machine Learning Research Scientist - Physiology,$143K - $264K (Employer est.),"Hands-on experience with applying both traditional CV models (for ex: optical flow, structure from motion, state estimation, feature descriptors, Eulerian……
Skills: TensorFlow, Computer science, MATLAB, Signal processing, Research",4.1,Apple,"Sunnyvale, CA",10000+ Employees,0,0,143,264,203.5,Sunnyvale,0,0,0,0,0
"Applied Scientist, Sponsored Products, Amazon",$136K - $222K (Employer est.),"PhD in engineering, technology, computer science, machine learning, robotics, operations research, statistics, mathematics or equivalent quantitative field.…
Skills: Computer vision, Data analysis skills, Java, C++, Machine learning",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,0,0,136,222,179.0,Seattle,0,0,0,0,0
Principal Data Scientist,$178K - $233K (Glassdoor est.),"Apply technical expertise with quantitative analysis, experimentation, and the presentation of data to develop strategies for our business and help solve the……
Skills: Live chat, R, Tableau, SQL, Analysis skills",3.9,Atlassian,"San Francisco, CA",5001 to 10000 Employees,0,0,178,233,205.5,San Francisco,0,0,0,0,0
"Sr. Applied Scientist, ML, Sponsored Products, Amazon",$150K - $260K (Employer est.),"Perform hands-on analysis and modeling with very large data sets to develop insights that increase traffic monetization and merchandise sales without……
Skills: TensorFlow, Sales, Spark, R, Research",3.7,Amazon.com Services LLC,"New York, NY",10000+ Employees,0,0,150,260,205.0,New York,0,0,1,0,0
"Senior Applied Scientist, Sponsored Products",$150K - $260K (Employer est.),"Rapidly design, prototype and test many possible hypotheses in a high-ambiguity environment, perform hands-on analysis and modeling of enormous data sets to……
Skills: TensorFlow, Spark, R, Research, Java",3.7,Amazon.com Services LLC,United States,10000+ Employees,0,0,150,260,205.0,United States,0,0,1,0,0
"Sr Advanced Data Scientist (Generative AI, Python, AWS)",$142K - $178K (Employer est.),"You will develop new solutions, evaluate & integrate 3rd party solutions, and deploy state-of-the-art data mining and AI-ML models that leverage physical access……
Skills: Power BI, Microsoft Excel, Data mining, C#, R",4.1,Honeywell,"Pittsford, NY",10000+ Employees,0,0,142,178,160.0,Pittsford,0,0,0,0,1
